State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
48,100,4800100,G48000100,40,400,4000400,G40000400,Oklahoma,Southwest Oklahoma,954,831,"185,004","108,895",0,0,0,"186,129","109,917",0,0,0,"61,629,088,821","18,204,304,155","180,345",0,0
48,100,4800100,G48000100,40,500,4000500,G40000500,Oklahoma,Panhandle & Northwest Oklahoma,954,832,"185,004","113,763",0,0,0,"186,129","115,029",0,0,0,"61,629,088,821","41,757,468,912","1,700",0,0
48,100,4800100,G48000100,48,100,4800100,G48000100,Texas,Panhandle Regional Planning Commission (Outside Potter & Randall Counties),954,954,"185,004","185,004","185,004",100,100,"186,129","186,129","186,129",100,100,"61,629,088,821","61,628,951,329","61,628,881,130",100,100
48,100,4800100,G48000100,48,300,4800300,G48000300,Texas,Panhandle Regional Planning Commission--Randall County--Amarillo City (South),954,956,"185,004","104,312",0,0,0,"186,129","120,725",0,0,0,"61,629,088,821","2,344,417,655","1,150",0,0
48,100,4800100,G48000100,48,400,4800400,G48000400,Texas,South Plains Association of Governments (Outside Lubbock County),954,957,"185,004","135,243",0,0,0,"186,129","132,828",0,0,0,"61,629,088,821","32,678,387,093","24,495",0,0
48,200,4800200,G48000200,48,200,4800200,G48000200,Texas,Panhandle Regional Planning Commission--Potter County--Amarillo City (North),955,955,"113,546","113,546","113,546",100,100,"121,073","121,073","121,073",100,100,"2,350,171,353","2,350,171,353","2,350,171,353",100,100
48,300,4800300,G48000300,48,300,4800300,G48000300,Texas,Panhandle Regional Planning Commission--Randall County--Amarillo City (South),956,956,"104,312","104,312","104,312",100,100,"120,725","120,725","120,725",100,100,"2,344,416,505","2,344,417,655","2,344,416,505",100,100
48,400,4800400,G48000400,48,400,4800400,G48000400,Texas,South Plains Association of Governments (Outside Lubbock County),957,957,"135,243","135,243","135,243",100,100,"132,828","132,828","132,828",100,100,"32,678,410,224","32,678,387,093","32,678,362,141",100,100
48,400,4800400,G48000400,48,600,4800600,G48000600,Texas,North Texas Regional Planning Commission (Outside Wichita County) & Wise County,957,960,"135,243","141,495",0,0,0,"132,828","150,487",0,0,0,"32,678,410,224","25,355,266,107","41,188",0,0
48,400,4800400,G48000400,48,2600,4802600,G48002600,Texas,West Central Texas COG (Outside Taylor County),957,960,"135,243","198,346",0,0,0,"132,828","195,884",0,0,0,"32,678,410,224","43,687,631,609","6,895",0,0
48,501,4800501,G48000501,48,501,4800501,G48000501,Texas,South Plains Association of Governments--Lubbock County--Lubbock City (Central),958,958,"109,885","109,885","109,885",100,100,"112,013","112,013","112,013",100,100,"70,277,884","70,249,519","70,249,519",99.96,100
48,501,4800501,G48000501,48,502,4800502,G48000502,Texas,South Plains Association of Governments--Lubbock County--Lubbock City (Outer),958,959,"109,885","132,743",0,0,0,"112,013","166,818",0,0,0,"70,277,884","2,242,531,102","28,366",0.04,0
48,502,4800502,G48000502,48,502,4800502,G48000502,Texas,South Plains Association of Governments--Lubbock County--Lubbock City (Outer),959,959,"132,743","132,743","132,743",100,100,"166,818","166,818","166,818",100,100,"2,242,502,736","2,242,531,102","2,242,502,736",100,100
48,600,4800600,G48000600,48,600,4800600,G48000600,Texas,North Texas Regional Planning Commission (Outside Wichita County) & Wise County,960,960,"145,748","141,495","141,495",97.08,100,"154,232","150,487","150,487",97.57,100,"27,554,705,555","25,355,266,107","25,355,221,838",92.02,100
48,600,4800600,G48000600,48,800,4800800,G48000800,Texas,"Texoma COG--Grayson, Cooke & Fannin Counties",960,962,"145,748","178,200",0,0,0,"154,232","193,229",2,0,0,"27,554,705,555","6,988,285,818","52,905",0,0
48,600,4800600,G48000600,48,2516,4802516,G48002516,Texas,Tarrant County (Northwest)--Fort Worth (Northwest) & Saginaw Cities,960,974,"145,748","47,768",0,0,0,"154,232","118,032",24,0.02,0.02,"27,554,705,555","326,561,119","356,640",0,0.11
48,600,4800600,G48000600,48,2600,4802600,G48002600,Texas,West Central Texas COG (Outside Taylor County),960,960,"145,748","198,346","4,253",2.92,2.14,"154,232","195,884","3,719",2.41,1.9,"27,554,705,555","43,687,631,609","2,199,074,172",7.98,5.03
48,700,4800700,G48000700,48,700,4800700,G48000700,Texas,North Texas Regional Planning Commission--Wichita County--Wichita Falls City,961,961,"131,664","131,664","131,664",100,100,"131,500","131,500","131,500",100,100,"1,625,907,835","1,625,907,835","1,625,907,835",100,100
48,800,4800800,G48000800,48,600,4800600,G48000600,Texas,North Texas Regional Planning Commission (Outside Wichita County) & Wise County,962,960,"146,958","141,495",0,0,0,"159,312","150,487",0,0,0,"4,681,273,908","25,355,266,107","3,080",0,0
48,800,4800800,G48000800,48,800,4800800,G48000800,Texas,"Texoma COG--Grayson, Cooke & Fannin Counties",962,962,"146,958","178,200","146,958",100,82.47,"159,312","193,229","159,312",100,82.45,"4,681,273,908","6,988,285,818","4,681,264,980",100,66.99
48,800,4800800,G48000800,48,1907,4801907,G48001907,Texas,Collin County (East),962,969,"146,958","62,125",0,0,0,"159,312","121,837",0,0,0,"4,681,273,908","1,287,800,326","5,667",0,0
48,800,4800800,G48000800,48,2006,4802006,G48002006,Texas,Denton County (North & West)--Denton City (Outer),962,970,"146,958","64,704",0,0,0,"159,312","114,425",0,0,0,"4,681,273,908","1,534,911,163",181,0,0
48,900,4800900,G48000900,48,800,4800800,G48000800,Texas,"Texoma COG--Grayson, Cooke & Fannin Counties",962,962,"107,838","178,200","31,242",28.97,17.53,"120,044","193,229","33,915",28.25,17.55,"4,483,377,610","6,988,285,818","2,306,967,934",51.46,33.01
