NN_M,NN_PSM,City,County?,Agency,State,Variable,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 
0,0,Abilene,0,Abilene Police Dept,TX,Violent Crime Total,355,506,561,679,740,914,870,859,890,721,696,598,642,548,495,404,383,444,517,498,576,554,661,648,658,578,428,472,477,571
0,0,Addison,0,Addison Police Dept,TX,Violent Crime Total,47,65,48,53,40,91,77,41,39,46,32,47,40,37,36,51,52,65,81,97,95,104,127,94,90,97,78,72,51,67
0,0,Alamo,0,Alamo Police Dept,TX,Violent Crime Total,14,11,14,21,30,16,16,23,28,25,35,24,26,40,44,45,29,48,41,77,60,67,55,98,133,154,164,182,164,145
0,0,Alice,0,Alice Police Dept,TX,Violent Crime Total,62,86,62,91,117,80,109,109,141,142,127,118,114,136,101,113,189,207,334,138,164,152,138,181,186,166,206,172,155,143
1,1,Allen,0,Allen Police Dept,TX,Violent Crime Total,44,9,26,23,22,37,38,19,59,27,35,32,56,44,39,63,63,71,60,59,53,59,58,67,80,65,72,55,62,73
0,0,Alton,0,Alton City Police Dept,TX,Violent Crime Total,,,,,,,,,,,,,,9,2,17,19,8,25,24,24,7,9,21,34,27,14,9,10,10
0,0,Alvin,0,Alvin Police Dept,TX,Violent Crime Total,50,70,59,88,75,95,83,94,77,79,57,70,71,70,50,70,83,89,50,65,53,75,64,65,53,45,56,62,53,67
0,0,Amarillo,0,Amarillo Police Dept,TX,Violent Crime Total,759,887,842,923,960,926,906,1134,1129,1261,1380,1428,1244,1265,1221,1434,1404,1478,1496,1426,1537,1622,1835,1473,1580,1200,1223,1278,1300,1353
0,0,Anderson,1,Anderson County Sheriff Office,TX,Violent Crime Total,78,75,61,94,66,115,85,82,79,85,71,30,50,67,65,56,68,72,65,72,84,77,70,50,59,78,66,52,55,63
0,0,Andrews,0,Andrews Police Dept,TX,Violent Crime Total,46,35,23,20,20,30,30,45,19,26,17,23,23,4,11,11,15,24,31,42,33,31,53,51,79,49,82,89,94,80
0,0,Angelina,1,Angelina County Sheriff Department,TX,Violent Crime Total,90,18,20,25,12,34,35,35,60,22,27,37,107,220,300,314,341,300,233,279,259,217,189,124,124,54,86,73,115,88
0,0,Angleton,0,Angleton Police Dept,TX,Violent Crime Total,59,58,40,31,86,54,110,99,104,87,92,66,67,69,62,63,94,104,57,113,78,100,99,86,104,75,64,59,58,52
0,0,Arlington,0,Arlington Police Dept,TX,Violent Crime Total,1110,1450,1412,1388,1550,1876,2108,2056,2259,2443,2576,2478,2420,1859,1951,2157,2129,2202,1863,1893,2369,2728,2588,2262,2330,1925,1874,1909,1837,1854
0,0,Atacosa,1,Atacosa County Sheriff Department,TX,Violent Crime Total,24,19,32,34,26,19,23,16,28,47,31,28,16,16,32,25,22,16,25,19,27,39,22,43,38,29,18,27,,
0,0,Athens,0,Athens Police Dept,TX,Violent Crime Total,57,67,56,76,51,87,144,214,147,128,76,61,67,58,83,104,133,120,97,54,53,63,54,66,74,62,67,55,39,44
1,1,Austin,0,Austin Police Dept,TX,Violent Crime Total,2363,2667,2313,2508,2605,3326,2968,2850,3011,3249,4050,3821,3527,3026,2790,3098,3180,3203,3153,3588,3393,3658,3871,3935,4024,3790,3471,3405,3123,3581
0,0,Azle,0,Azle Police Dept,TX,Violent Crime Total,22,19,31,21,38,39,86,81,137,109,30,32,30,23,16,28,22,37,32,34,36,37,31,45,35,30,23,25,28,39
0,0,Balch,0,Balch Springs Police Dept,TX,Violent Crime Total,35,64,62,58,149,366,355,451,388,164,113,101,120,175,94,118,95,132,128,153,146,123,211,175,155,222,191,177,197,233
0,0,Bastrop,1,Bastrop County Sheriff Department,TX,Violent Crime Total,43,68,69,44,60,87,112,117,222,138,138,101,59,83,72,99,141,125,196,162,137,92,108,201,307,329,155,210,190,185
0,0,Bay,0,Bay City Police Dept,TX,Violent Crime Total,143,146,199,107,56,120,131,106,114,108,169,124,113,98,80,107,88,107,136,122,103,166,462,102,65,45,38,54,60,55
1,0,Baytown,0,Baytown Police Dept,TX,Violent Crime Total,218,238,278,341,386,452,539,424,389,415,389,328,251,244,273,239,226,245,264,279,291,350,324,324,330,301,212,247,285,241
0,0,Beaumont,0,Beaumont Police Dept,TX,Violent Crime Total,975,1111,1279,1409,1638,1843,1946,2001,1466,1413,1230,1252,1295,1226,1323,1073,1114,1150,1051,1060,1130,1155,1073,1015,1002,900,1069,1242,1225,1050
0,0,Bedford,0,Bedford Police Dept,TX,Violent Crime Total,54,101,69,67,89,80,106,114,86,121,137,144,128,132,122,115,124,87,139,197,240,254,259,246,186,210,170,144,206,224
0,0,Beeville,0,Beeville Police Dept,TX,Violent Crime Total,9,60,112,126,67,164,139,60,88,93,75,72,30,53,44,30,32,42,52,43,48,35,48,69,77,44,34,30,30,28
0,0,Bell,1,Bell County Sheriff Department,TX,Violent Crime Total,,88,88,97,91,107,133,115,157,150,186,171,168,165,145,148,121,97,59,83,77,75,74,88,72,40,29,36,74,111
1,1,Bellaire,0,Bellaire Police Dept,TX,Violent Crime Total,43,37,38,52,42,77,56,57,52,45,28,50,36,35,35,44,29,43,39,43,38,24,41,28,33,15,22,23,13,25
0,0,Bellmead,0,Bellmead Police Dept,TX,Violent Crime Total,37,53,37,25,20,24,64,63,116,123,176,92,80,54,70,72,61,153,150,159,137,117,131,130,141,157,171,182,152,171
0,0,Belton,0,Belton Police Dept,TX,Violent Crime Total,50,31,23,44,41,42,34,18,41,38,29,32,22,22,,30,36,36,27,39,32,33,30,37,35,79,56,64,67,40
0,0,Benbrook,0,Benbrook Police Dept,TX,Violent Crime Total,20,29,46,40,31,51,31,36,32,28,23,28,24,19,35,20,37,25,31,35,36,28,31,28,33,37,17,31,23,28
0,0,Bexar,1,Bexar County Sheriff Office,TX,Violent Crime Total,581,395,657,485,737,575,768,542,484,558,635,693,952,937,840,544,415,507,478,500,610,493,542,650,649,546,496,487,452,424
0,0,Big,0,Big Spring Police Dept,TX,Violent Crime Total,329,366,271,205,209,178,145,164,145,107,104,119,123,106,85,95,59,68,85,73,87,138,197,159,182,178,190,160,147,216
0,0,Boerne,0,Boerne Police Dept,TX,Violent Crime Total,6,7,6,6,6,2,3,7,8,13,5,4,6,3,5,11,9,11,10,12,10,13,19,21,13,21,17,17,23,31
0,0,Borger,0,Borger Police Dept,TX,Violent Crime Total,22,34,26,22,15,20,47,19,37,54,43,61,89,51,52,47,56,46,57,50,69,79,120,202,206,186,120,131,134,113
0,0,Bowie,1,Bowie County Sheriff Office,TX,Violent Crime Total,92,93,78,72,53,65,98,107,75,100,97,80,94,62,89,92,98,83,103,116,92,118,124,128,121,113,140,131,93,106
0,0,Brazoria,1,Brazoria County Sheriff Department,TX,Violent Crime Total,184,135,122,100,103,322,194,112,187,220,310,215,287,186,133,217,182,179,104,84,68,107,85,72,166,133,98,92,182,140
0,0,Brazos,1,Brazos County Sheriff Office,TX,Violent Crime Total,25,28,19,24,27,4,18,24,13,42,34,18,18,13,46,34,49,64,36,38,63,53,30,61,63,49,53,41,42,53
0,0,Brenham,0,Brenham Police Dept,TX,Violent Crime Total,23,19,35,61,74,102,119,99,95,109,134,216,104,64,62,97,99,99,82,69,84,74,96,72,104,62,43,34,68,53
