PUMA,HHINCOME,DENSITY,PROPTX99,RENT,farm,ownership,acreage,se.HHINCOME,se.DENSITY,se.PROPTX99,se.RENT,se.farm,se.ownership,se.acreage,AGE,sex,race,hisp,hs,ba,employed,se.AGE,se.sex,se.race,se.hisp,se.hs,se.ba,se.employed,treated,PScores,distance,weights,subclass
100,53955.56576,73.2,14.74301283,66.12533976,0.032203291,0.786759721,0.083478059,1170.496297,0,0.358406593,4.574859422,0.003763176,0.011288065,0.006553275,45.81412612,0.559376172,0.820394392,0.274844418,0.791257404,0.183459549,0.976816375,0.425666926,0.019197606,0.016600186,0.018838094,0.017892108,0.013595491,0.006012845,0,5.08E-06,5.08E-06,0.076033058,7
200,50548.86326,1423.4,17.68485576,142.5217311,0.001038937,0.690835421,0.008092165,1635.02029,0,0.617542557,8.491425911,0.00073515,0.017117739,0.002595807,43.0070599,0.567406794,0.732704334,0.296058222,0.774017824,0.182380755,0.929095941,0.701217945,0.028500277,0.026522514,0.026962665,0.024931142,0.022667506,0.016112679,0,0.000377335,0.000377335,0.076033058,7
300,72768.20185,1354,27.67919308,90.01467121,0.002913283,0.830578989,0.025810846,2029.701845,0,0.669567543,9.777115793,0.001433746,0.015224497,0.00445657,44.3683448,0.538613224,0.88194696,0.132379573,0.905086724,0.258944022,0.97245362,0.585226387,0.024816719,0.018840116,0.019330191,0.016260124,0.020250148,0.008366374,0,0.000218839,0.000218839,0.076033058,7
400,53867.30996,52.6,15.34531849,56.07844988,0.034754104,0.753228699,0.063029356,1557.272829,0,0.505674548,4.488241159,0.003951642,0.014172263,0.00637346,44.45154394,0.568962787,0.82662312,0.436460808,0.804374505,0.168190816,0.929552652,0.596801531,0.023163775,0.017868875,0.023677633,0.018336709,0.015937187,0.014792964,0,6.13E-07,6.13E-07,0.076033058,7
501,54652.46651,4445.6,16.56583549,206.958112,0,0.62051152,0,2135.267344,0,0.694053519,13.50833885,0,0.020731715,0,42.91719036,0.504570384,0.784477834,0.337322898,0.860946069,0.277393739,0.965979205,0.724639511,0.030680193,0.027201485,0.031441129,0.022693385,0.025305642,0.010322734,0,7.85E-05,7.85E-05,0.076033058,7
502,67589.71586,931.8,24.03812639,105.40745,0.007233406,0.784331057,0.013045176,1785.218769,0,0.655711131,7.572425099,0.002022785,0.013691971,0.00280159,43.95367246,0.524594498,0.804099342,0.257919537,0.866227081,0.335925229,0.973733729,0.534602586,0.022929524,0.019304042,0.022231982,0.018598237,0.020741532,0.008622418,0,0.006580601,0.006580601,0.076033058,7
600,64337.02789,54,20.76286929,59.85164806,0.060817547,0.811010577,0.15470131,1784.05304,0,0.484397578,5.341452587,0.005934711,0.012899832,0.00982721,44.09014452,0.558686581,0.933765125,0.104097185,0.823835533,0.187942063,0.965424461,0.549176101,0.021785748,0.010464372,0.015507472,0.018749815,0.016428516,0.007752117,0,3.71E-09,3.71E-09,0.076033058,7
700,73850.54554,1022,20.79296173,127.2614213,0.013812964,0.732311597,0.023096447,3519.323736,0,0.709364816,11.71108778,0.004669387,0.017946968,0.005319908,44.29985632,0.49335249,0.849646883,0.121314527,0.88139709,0.270554667,0.927211284,0.605861892,0.025509316,0.018881417,0.016968809,0.017582214,0.022700244,0.016192367,0,0.000240184,0.000240184,0.076033058,7
800,60236.84397,225.2,22.55389797,92.77617458,0.022859606,0.799231438,0.07082898,1250.425595,0,0.563282772,7.758306771,0.003473445,0.014005028,0.006452945,43.83712907,0.534512498,0.890045315,0.069478146,0.888320421,0.203581348,0.950606636,0.558815964,0.023270294,0.014848583,0.015824119,0.016894787,0.016602829,0.011754247,0,1.49E-06,1.49E-06,0.076033058,7
900,57701.73177,144.7,19.76581794,94.35387562,0.030419108,0.774943668,0.131782334,1463.473977,0,0.580780177,7.744098602,0.004299508,0.014913937,0.010859135,44.64107843,0.525723297,0.866904663,0.083860794,0.854661732,0.183819181,0.944304518,0.678355312,0.026452123,0.022189143,0.018016532,0.020941538,0.019132567,0.013677142,0,5.98E-12,5.98E-12,0.076033058,7
1000,57064.26361,109.9,17.96751888,68.3441014,0.039218853,0.783223345,0.164243851,1458.669681,0,0.502376374,5.488497387,0.005335524,0.01199006,0.010523617,44.53159863,0.536993714,0.83100183,0.108426832,0.821357524,0.184101217,0.931455399,0.519686577,0.02170797,0.017650817,0.013719682,0.016666582,0.016882303,0.013060982,0,2.22E-16,2.22E-16,0.076033058,7
